k,alpha,eta,seed,c_v,u_mass,perplexity
5,symmetric,symmetric,42,0.5113304196809855,-2.216882506937279,-7.894948340707687
5,symmetric,symmetric,123,0.5258875990358244,-2.1397991091471353,-7.885136346445684
5,symmetric,symmetric,456,0.5022733203041481,-2.2197959493357198,-7.882701183950538
5,symmetric,0.01,42,0.5203002312593421,-2.197079361975679,-8.22498714334059
5,symmetric,0.01,123,0.5115916779620502,-2.170271011597584,-8.217252573559943
5,symmetric,0.01,456,0.49412217018949256,-2.24123553103013,-8.213616763253523
5,symmetric,0.1,42,0.5066402628356832,-2.2479685175770214,-7.9426525276413
5,symmetric,0.1,123,0.5221131980500464,-2.164706984832409,-7.9344897151052844
5,symmetric,0.1,456,0.5039611646643655,-2.21456840632216,-7.929811997077416
5,0.01,symmetric,42,0.5020077467641559,-2.232852151170401,-7.848802623589419
5,0.01,symmetric,123,0.530185249173228,-2.1431063129678067,-7.842760284303851
5,0.01,symmetric,456,0.509682018486124,-2.203844523933888,-7.840022999674699
5,0.01,0.01,42,0.513119770565228,-2.163659394662133,-8.199673028411343
5,0.01,0.01,123,0.5299340365344116,-2.1304417994142395,-8.189937156139719
5,0.01,0.01,456,0.5013560578087304,-2.201401696663428,-8.188049293675299
5,0.01,0.1,42,0.4943396158021164,-2.210304862889644,-7.904171697142099
5,0.01,0.1,123,0.5263589210272748,-2.1225312343792355,-7.895491338043871
5,0.01,0.1,456,0.516667453142307,-2.176343171402758,-7.894846124898437
5,0.1,symmetric,42,0.4994087940303283,-2.19276473689245,-7.869706821801984
5,0.1,symmetric,123,0.5229906980119468,-2.1331436912275334,-7.859781412798358
5,0.1,symmetric,456,0.5053123709325581,-2.2205674705741463,-7.857702852589885
5,0.1,0.01,42,0.519645688605989,-2.2008395818467696,-8.209849121872587
5,0.1,0.01,123,0.5214387100122228,-2.1377734383095635,-8.198209158610132
5,0.1,0.01,456,0.5059532586807427,-2.2034744730076277,-8.19597665960016
5,0.1,0.1,42,0.5065930706266538,-2.2437808878746983,-7.919663041968334
5,0.1,0.1,123,0.5180099365540324,-2.1351859118764125,-7.910394498770131
5,0.1,0.1,456,0.4960804967182364,-2.2062327049093495,-7.908925642037059
5,0.5,symmetric,42,0.5081846121715017,-2.2361044126812635,-7.908950401199349
5,0.5,symmetric,123,0.5119700364483415,-2.2034178729722447,-7.898353842152407
5,0.5,symmetric,456,0.4786077356029522,-2.30657162879408,-7.8988997205999185
5,0.5,0.01,42,0.5106403693163186,-2.2298992490607166,-8.229885189647382
5,0.5,0.01,123,0.49194559627869117,-2.2636115169498074,-8.215092362874197
5,0.5,0.01,456,0.48810139541017,-2.2676486725841496,-8.216470457364892
5,0.5,0.1,42,0.5036732169478272,-2.2934524069564435,-7.950650135312953
5,0.5,0.1,123,0.4927015923899852,-2.254637329958224,-7.938734629031502
5,0.5,0.1,456,0.4846825177694921,-2.2820852415729425,-7.939470702777742
10,symmetric,symmetric,42,0.4865900836511064,-2.2765010158034524,-8.039969562561513
10,symmetric,symmetric,123,0.47573327425775674,-2.33527367046175,-8.032203759868338
10,symmetric,symmetric,456,0.49522449817986763,-2.236530441638123,-8.022512024700713
10,symmetric,0.01,42,0.49315253011159693,-2.282414639791928,-8.445892754533244
10,symmetric,0.01,123,0.4793392234750324,-2.2626541297284684,-8.435923197050284
10,symmetric,0.01,456,0.49751136561699916,-2.2514833130747727,-8.426281829316252
10,symmetric,0.1,42,0.4849998276184707,-2.283615508835074,-8.039466486754986
10,symmetric,0.1,123,0.47573327425775674,-2.3373872244954197,-8.03224406066803
10,symmetric,0.1,456,0.49522449817986763,-2.2351632198459166,-8.022706773026531
10,0.01,symmetric,42,0.483274682910133,-2.302109198909251,-7.9871756459923
10,0.01,symmetric,123,0.48601765035299954,-2.236656141571925,-7.984120194429404
10,0.01,symmetric,456,0.5069029770203481,-2.223685036313228,-7.976954159323873
10,0.01,0.01,42,0.48914512342444877,-2.284024002168903,-8.405945101761228
10,0.01,0.01,123,0.48153807976243634,-2.2538070974112787,-8.395722276919173
10,0.01,0.01,456,0.4965033642344264,-2.2388834249078347,-8.389443029252739
10,0.01,0.1,42,0.48292035425727314,-2.3008527897069984,-7.987273620165791
10,0.01,0.1,123,0.487673540713085,-2.239768629327634,-7.983916414447961
10,0.01,0.1,456,0.5081392037793954,-2.2242891517301313,-7.977133866079807
10,0.1,symmetric,42,0.4849998276184707,-2.2831889172435753,-8.039857958380793
10,0.1,symmetric,123,0.479376010622733,-2.326057977685563,-8.03217912799108
10,0.1,symmetric,456,0.49522449817986763,-2.2348904056182817,-8.022492467159138
10,0.1,0.01,42,0.49929238525024544,-2.2703986258076947,-8.445630864502373
10,0.1,0.01,123,0.4766792815031611,-2.2790652736663977,-8.435759749628716
10,0.1,0.01,456,0.49794149553256695,-2.2446747434708127,-8.42637663763774
10,0.1,0.1,42,0.4849998276184707,-2.2831889172435753,-8.039858523966465
10,0.1,0.1,123,0.47573327425775674,-2.335816885809225,-8.032494266715844
10,0.1,0.1,456,0.4934486220291226,-2.2365430058602156,-8.022470743992628
10,0.5,symmetric,42,0.4733193543588623,-2.5096502343713074,-8.110503638122685
10,0.5,symmetric,123,0.4485542947836471,-2.5855478179447045,-8.098982565575186
10,0.5,symmetric,456,0.4812299988608541,-2.437355049207055,-8.090470960325812
10,0.5,0.01,42,0.4694000260886993,-2.5176429325378167,-8.491412291177824
10,0.5,0.01,123,0.4521278124968588,-2.56408967121093,-8.47573437534473
10,0.5,0.01,456,0.47818728145563305,-2.437280123347297,-8.46885066256735
10,0.5,0.1,42,0.4733193543588623,-2.5096502343713074,-8.110502811047649
10,0.5,0.1,123,0.4485542947836471,-2.5855478179447045,-8.098981858047866
10,0.5,0.1,456,0.4812299988608541,-2.437355049207055,-8.090472418027218
15,symmetric,symmetric,42,0.47167680798067446,-2.3588783597373886,-8.150092509045145
15,symmetric,symmetric,123,0.471885383697431,-2.404711300273816,-8.146651259796911
15,symmetric,symmetric,456,0.47307368606979466,-2.394467687693274,-8.137130985988843
15,symmetric,0.01,42,0.46352512080888086,-2.379355290785622,-8.570732292678104
15,symmetric,0.01,123,0.46999432029293403,-2.4003967211683195,-8.56357225670322
15,symmetric,0.01,456,0.46747419831068476,-2.4346683807085054,-8.558072984128767
15,symmetric,0.1,42,0.4646138320452819,-2.371898512081829,-8.093878814951136
15,symmetric,0.1,123,0.46726073244697824,-2.41897453911816,-8.09165600631476
15,symmetric,0.1,456,0.4669565639873615,-2.385184438185812,-8.080489521085363
15,0.01,symmetric,42,0.4712178996525254,-2.345774823860808,-8.10036925485255
15,0.01,symmetric,123,0.4743366164117688,-2.391445595208276,-8.097710900035219
15,0.01,symmetric,456,0.47033765703960584,-2.3736533714157253,-8.090512462747865
15,0.01,0.01,42,0.4757478424197966,-2.3247929342774256,-8.525238329682676
15,0.01,0.01,123,0.4697688976876091,-2.3914240161820532,-8.523397847157003
15,0.01,0.01,456,0.4709640601942666,-2.382514868520647,-8.515242071379896
15,0.01,0.1,42,0.4678089504046712,-2.3419548529832714,-8.041027858078479
