article_id,article_topic_category
26842506,politics
26055892,politics
6929035,politics
19047636,politics
11672346,politics
26691065,religion
25731634,politics
13647608,healthcare
19767742,crime_law
32655412,politics
29629853,environment
13464869,politics
30089817,politics
27910240,politics
22970289,religion
26916174,politics
29220490,politics
20993905,politics
24459593,economy
24211771,politics
26287563,politics
17614448,politics
27600848,immigration
29287461,politics
11508194,politics
14315072,technology
9255841,education
21200020,politics
27264347,politics
30608142,politics
27606120,religion
27072545,politics
26845638,politics
22310028,education
20908158,politics
31992733,politics
32803341,politics
28748918,politics
32753320,politics
26337462,politics
13919677,politics
28078752,crime_law
21821297,politics
26957781,politics
7725145,environment
20736274,environment
28616994,politics
26573582,politics
14730628,healthcare
17357856,politics
17967924,education
30101422,politics
27480867,immigration
27200206,politics
22729037,terrorism_security
31520824,politics
22970176,politics
27730073,environment
27751521,environment
27008590,politics
11451046,politics
20647540,politics
11951156,politics
28117977,immigration
26424488,politics
26611044,politics
23069380,crime_law
29295022,politics
21294082,politics
15519571,politics
11579462,politics
9397380,politics
32314865,immigration
23117749,politics
22275323,immigration
27047599,education
30887672,social_issues
10600939,politics
11744465,politics
24031310,politics
30609024,politics
28775443,politics
21138349,politics
7536781,economy
27550366,politics
16847458,healthcare
17944909,politics
15798546,healthcare
19395567,politics
30029924,politics
31835620,economy
19071121,education
25141317,politics
27274186,religion
30306595,politics
22212088,politics
15792740,politics
30758467,crime_law
26385007,crime_law
27951364,politics
27751222,politics
8206738,education
29183100,politics
13098410,politics
11959426,politics
27307063,politics
18843166,social_issues
7252472,education
18498810,crime_law
12753194,crime_law
7029504,politics
29642837,healthcare
28708468,economy
18491718,politics
28199271,politics
28225596,politics
14112165,education
19301124,economy
32774605,politics
13483909,crime_law
33053215,technology
28920847,politics
12016032,economy
9003680,economy
28256142,religion
32474079,social_issues
20076143,education
11484180,politics
21988222,environment
32278545,economy
29409595,politics
33069933,politics
8131320,environment
31691976,social_issues
25083043,technology
23701139,healthcare
18377125,politics
30746157,crime_law
18565795,education
17124154,education
12292515,immigration
29062577,social_issues
21486194,politics
25836587,politics
24454966,technology
23116954,politics
28494689,politics
26373964,economy
28730533,economy
22194314,politics
18952122,crime_law
14639865,environment
11866787,religion
10549743,crime_law
26571266,terrorism_security
25051883,politics
29514578,politics
25328772,healthcare
28357800,environment
16762124,social_issues
26199551,immigration
15771887,education
11084876,economy
31696963,immigration
18690272,healthcare
25992070,politics
24388470,politics
26571622,politics
25666787,politics
20966258,politics
32301637,social_issues
19890164,environment
29670004,healthcare
30632832,politics
13702405,economy
7096675,politics
17943385,politics
18394828,politics
12205395,politics
11739745,politics
26995382,politics
32604218,politics
20211559,crime_law
28731337,economy
29387850,crime_law
29642815,politics
10934025,healthcare
18021234,politics
27933568,politics
26664422,politics
28272457,terrorism_security
12366486,education
17485722,politics
24431679,politics
27175310,politics
20259976,politics
9046904,politics
26761039,immigration
17906112,religion
26893759,politics
30026038,politics
22660484,crime_law
16350272,education
23983339,economy
26845940,politics
27403291,immigration
11170110,technology
24420466,politics
17499526,healthcare
23598822,politics
27865553,environment
29455100,politics
22441877,religion
26387781,immigration
13198302,politics
16441339,politics
22489227,religion
12038373,politics
25663385,economy
29369557,terrorism_security
11285554,politics
32746841,politics
15609883,politics
10869396,politics
12358244,politics
16278726,education
22831586,technology
22832660,terrorism_security
31082099,terrorism_security
27722680,politics
18852649,politics
29405071,technology
23440389,healthcare
23252879,economy
22070679,economy
24565759,technology
11142634,immigration
19512237,economy
14588647,environment
30625193,politics
32879280,politics
23187576,terrorism_security
30821712,terrorism_security
27287248,politics
20813289,politics
20747940,environment
10749814,politics
17493027,politics
19234644,education
18666605,politics
32926825,immigration
31789981,politics
21293240,politics
20893866,religion
21179595,politics
20199878,politics
26023945,politics
31388410,economy
32499455,environment
27791333,immigration
28955226,politics
30391922,politics
31727364,politics
12468271,education
26484221,immigration
20959491,politics
23545818,education
10030963,economy
13325277,economy
10869374,education
21419211,crime_law
22882822,politics
26115777,education
30606967,politics
26389432,economy
27853698,politics
16059597,politics
17158564,education
14157485,religion
19999874,politics
26483292,politics
10713368,social_issues
32879856,politics
31449722,healthcare
29030490,politics
13201485,environment
29805755,politics
22229326,politics
28423438,environment
12612893,politics
24552544,politics
26793261,politics
7879189,social_issues
11243660,politics
15734273,politics
32087934,politics
7605770,politics
22031682,environment
27980194,economy
31742899,religion
18122221,immigration
28995692,politics
18131098,education
21030488,politics
21820448,politics
8616440,education
14050679,religion
23812631,politics
32338471,politics
27725234,economy
22359531,religion
30046655,education
32573008,politics
20144092,politics
21465873,politics
19948816,economy
19767771,environment
8718582,environment
19155917,politics
31800325,education
16480581,crime_law
23395537,crime_law
25817790,economy
26882159,politics
19193195,politics
19260516,politics
31291638,healthcare
32398125,politics
22821691,terrorism_security
18357133,politics
18997562,environment
25763192,politics
27508948,religion
18478269,crime_law
23545860,politics
32774517,politics
29483681,crime_law
21147510,politics
27571292,economy
15734269,crime_law
32497815,social_issues
15656751,education
26635466,politics
9088546,politics
17309702,education
11698733,politics
29858672,politics
31235014,economy
27616741,politics
32163847,politics
17644629,politics
24299962,education
28705123,religion
13359533,healthcare
21331661,crime_law
18477995,economy
22997369,politics
21959702,technology
19870966,crime_law
23254709,crime_law
29569924,politics
12523113,politics
21578278,politics
32926886,politics
15597718,economy
29384402,immigration
10586347,economy
29289306,education
21623785,politics
25812310,politics
31470392,religion
31316098,economy
30168052,politics
11584722,economy
13272824,politics
19609445,healthcare
15503778,politics
19153726,politics
11209063,economy
30259556,politics
32290288,environment
27109156,politics
17332915,healthcare
14612526,healthcare
32071554,economy
24565777,politics
29717540,environment
32373808,economy
27388857,environment
19704906,environment
26360289,economy
28348066,politics
25852078,politics
26006809,economy
13319627,politics
17711329,education
29710275,crime_law
14266528,religion
26041816,politics
31427516,terrorism_security
29409643,religion
14491748,environment
21887449,crime_law
26887952,politics
30798029,politics
22590751,politics
21055774,religion
8996700,environment
19639369,crime_law
27607030,social_issues
15142837,politics
15590034,politics
32013536,economy
16758865,politics
10813439,education
26722650,politics
30003218,politics
20940756,politics
18055930,immigration
20627777,politics
14323324,religion
31464598,education
30275859,politics
14954989,politics
13486676,crime_law
22613411,environment
9942689,education
32483206,politics
30120071,environment
25784108,social_issues
19911352,environment
12426834,politics
27353020,religion
22041303,education
31660992,immigration
24649804,environment
23510995,crime_law
9934348,politics
22497817,religion
31727993,politics
21032688,environment
29514753,politics
27516771,religion
26950887,education
10198519,economy
9607193,politics
28814768,healthcare
26551328,politics
30259443,economy
22832397,education
20566396,education
29593225,politics
23667130,politics
20884077,immigration
19088323,politics
21046030,politics
25489080,economy
32498319,crime_law
19355298,education
18200187,immigration
32970512,crime_law
26887006,politics
32865659,politics
18372092,politics
26463412,politics
24599918,politics
21802147,politics
8981162,economy
29929270,immigration
21737913,environment
7870191,immigration
14816960,healthcare
33053764,immigration
32924694,politics
8981199,politics
32603753,politics
20584451,environment
26197127,education
12943962,politics
12044933,politics
23226179,terrorism_security
