bertopic_topic_label,crime_law,economy,education,environment,healthcare,immigration,other,politics,religion,social_issues,sports,technology,terrorism_security
"Animals, Food, Meat Ethics & Environment",1.375,1.1428571428571428,1.3333333333333333,1.0,,1.0,1.0,1.2777777777777777,1.0,4.0,1.0,1.3333333333333333,1.6666666666666667
"Bullying, Civility & Editorial Disputes",1.0,2.0,1.0,,,3.0,,1.3333333333333333,,,,,1.3333333333333333
Canada Identity / Provinces / General National Talk,1.1428571428571428,1.2272727272727273,1.0,1.0,1.0,1.0,1.0,1.625,1.0,1.0,1.0,1.0,1.0
"Canadian Culture, Language & Immigration Identity",2.0,1.0,1.25,1.0,2.0,1.2222222222222223,,1.1428571428571428,1.0,2.0,,,2.0
Canadian Party Politics & Electoral Reform,,1.0,1.0,,,,,1.0909090909090908,,,,,1.0
"Cities, Transit & Urban Development",1.25,1.103448275862069,1.0,1.1666666666666667,1.0,1.0,1.0,1.0714285714285714,,,,1.5,
"Citizenship, Dual Citizenship & Niqab Ceremony",1.4,1.0,,,,,,1.1111111111111112,1.3333333333333333,1.5,,2.0,1.0
Climate Change & CO2 Debate,1.0,1.5,1.0,1.1228070175438596,1.0,,,1.0714285714285714,1.0,1.0,,,
Columnist/Political Culture Commentary (Coyne etc.),,,1.0,1.0,,,,1.0,,,,1.1666666666666667,
"Consumer Prices, Markets & Groceries",,1.4,1.0,,,,,1.0,,,,1.0,
Debate About Terms / Argumentation Style,1.6,1.375,1.0,1.4,1.4,1.25,,1.2,1.3333333333333333,1.0,,1.5,1.0
"Education: Teachers, Schools & Kids",1.5,1.0,1.1587301587301588,,1.6,2.0,,1.0,1.0,1.25,,,2.0
Energy Tech (Solar/Wind/Nuclear/Power),1.0,1.0,,1.1764705882352942,1.0,3.0,,1.0,,3.0,,1.0,
Evidence vs Truth Debate (Kingwell Thread),1.0,1.0,1.0,1.0,1.3333333333333333,1.0,,1.0,1.0,,,1.0,1.0
Fascism/Nazism/Confederate Symbols,1.5,1.6666666666666667,1.0,2.0,,1.0,,1.5454545454545454,1.25,,3.0,2.0,1.0
"Gender, Feminism & Relationships",1.2,,1.4444444444444444,,1.0,,,1.3846153846153846,1.3333333333333333,1.5714285714285714,1.5,1.1666666666666667,2.3333333333333335
